Accession	Control-08	Control-09	Control-10	Control-11	Control-12	Control-18	Control-19	Control-20	Lepto-01	Lepto-02	Lepto-03	Lepto-04	Lepto-05	Lepto-06	Lepto-13	Lepto-14	Lepto-15	Lepto-16	Lepto-17
XP_027471841.1	12.0	18.0	14.0	23.0	51.0	36.0	22.0	21.0	11.0	0.0	17.0	9.0	10.0	1.0	11.0	11.0	0.0	4.0	1.0
XP_027481693.1	22.0	39.0	6.0	25.0	52.0	39.0	14.0	23.0	7.0	0.0	9.0	10.0	3.0	3.0	3.0	11.0	2.0	1.0	3.0
XP_027426267.1 (+1)	7.0	6.0	2.0	2.0	2.0	0.0	1.0	0.0	59.0	12.0	47.0	23.0	16.0	3.0	22.0	40.0	9.0	4.0	16.0
XP_027435935.1	10.0	10.0	5.0	3.0	4.0	8.0	4.0	9.0	14.0	26.0	16.0	15.0	36.0	26.0	18.0	12.0	20.0	14.0	20.0
XP_027465426.1 (+2)	10.0	17.0	7.0	11.0	11.0	14.0	14.0	17.0	17.0	1.0	32.0	13.0	16.0	6.0	30.0	27.0	8.0	4.0	11.0
XP_027458493.1	18.0	23.0	25.0	10.0	22.0	51.0	33.0	35.0	2.0	0.0	5.0	8.0	2.0	0.0	4.0	13.0	4.0	1.0	8.0
XP_027432317.1	7.0	7.0	6.0	3.0	6.0	9.0	5.0	36.0	9.0	9.0	15.0	11.0	24.0	24.0	13.0	26.0	17.0	18.0	17.0
XP_027480959.1 (+2)	0.0	0.0	0.0	0.0	0.9	0.3	13.2	22.4	25.6	0.0	37.1	25.8	8.7	0.5	50.9	68.7	0.5	0.0	4.5
XP_027438476.1 (+2)	1.0	2.0	1.0	0.0	3.0	1.0	0.0	9.0	25.8	0.0	37.5	23.7	20.7	0.0	51.6	68.5	11.0	0.0	1.0
XP_027453310.1	21.0	34.0	38.0	44.0	30.0	17.0	19.0	7.0	5.0	3.0	6.0	8.0	3.0	4.0	3.0	4.0	2.0	4.0	4.0
XP_027440598.1 (+1)	20.0	36.0	8.0	16.0	47.0	54.0	28.0	18.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	6.0	14.0	0.0	3.0
